Text;Randomized Trial? (Predicted);Multicentric (Predicted);Sample Size (planned) reported? (Predicted);Sample Size (planned) (Predicted);Follow-up duration (median, months) reported? (Predicted);Follow-up duration (median, months) (Predicted);Tumor Type - NSCLC? (Predicted);Tumor Type - Prostate Cancer? (Predicted);Tumor Type - HNSCC? (Predicted);Tumor Type - Glioblastoma? (Predicted);Tumor Stage at Inclusion - Localized? (Predicted);Tumor Stage at Incluion - Locally Advanced? (Predicted);Tumor Stage at Inclusion - Oligometastatic? (Predicted);Tumor Stage at Inclusion - Metastatic? (Predicted);Tumor Stage at Inclusion - Recurrent? (Predicted);Cancer Histology-specific? (Predicted);Number of Patients reported? (Predicted);Number of Patients (Predicted);Inclusion of Older Adults (>70) (Predicted);Biomarker-selected population? (Predicted);Radiotherapy Type - EBRT (Predicted);Radiotherapy Type - SBRT (Predicted);Radiotherapy Type - IMRT (Predicted);Radiotherapy Type - Protontherapy (Predicted);Radiotherapy Type - Brachytherapy (Predicted);Radiotherapy Type - MR-guided Radiotherapy (Predicted);Hypofractionation used? (Predicted);Radiation Dose Escalation? (Predicted);Dose per Fraction (Gy) reported? (Predicted);Dose per Fraction (Gy) (Predicted);Total Dose (Gy) reported? (Predicted);Total Dose (Gy) (Predicted);Image Guidance Used - MRI? (Predicted);Image Guidance Used - PET? (Predicted);Concurrent Systemic Therapy? (Predicted);Systemic Therapy used - Chemotherapy? (Predicted);Systemic Therapy used - Immunotherapy? (Predicted);Systemic Therapy used - Targeted Therapy? (Predicted);Systemic Therapy used - Hormonal Therapy? (Predicted);Primary Endpoint Type? (Predicted);Hazard Ratio reported? (Predicted);Hazard Ratio (Predicted);Biomarker Endpoint Included (Predicted);Use of Advanced Imaging? (Predicted);Use of Omics? (Predicted);New Technology Introduced? (Predicted);New Technology Validated? (Predicted)
"Phase I/II Trial of Stereotactic Body Radiotherapy for the Treatment of Solitary Bone PlasmacytomaThis project aims to propose a new approach in the treatment of solitary plasmacytoma: hypofractionated irradiation alone with stereotactic technique that may contribute to the successful treatment of this disease.

This work aims to apply this new technique with the primary objective of reducing the progression-free survival for multiple myeloma of patients treated for solitary plasmacytoma, as well as quantify overall survival, local control, toxicities and quality of life in a phase I trial / II.Solitary plasmacytoma is a rare disease whose treatment has not evolved much in the last decades. The role of radiotherapy in the curative treatment of this entity was defined in a major publication in the 1980s and has since been proven to be the best practice in several other comparative trials, mostly retrospective. The radiotherapy dose of curative intent has also been described over the same period and remains unchanged to this day. Thus, local control, disease cure rate, and rate and progression time for multiple myeloma have been unaffected for almost 30 years.

Radiobiology of plasmacytoma cells is also not widely studied. The alpha / beta ratio, which defines the pattern of response of this disease to radiotherapy fractions and its response time, is also not well described. However, it is believed to be smaller in comparison to other hematological malignancies due to reports of cases of intrinsic radioresistance and late recurrence and reports of success with hypofractionated dose in isolated cases where stereotactic techniques were used such as base of skull and spine.";FALSE;FALSE;FALSE;;FALSE;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;PFS;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE
Multicenter Phase II Study of Stereotactic Ablative Radiotherapy for Hepatocellular Carcinoma With Major Portal Vein InvasionRecently, several studies reported promising outcomes of patients after external beam radiotherapy (EBRT) for hepatocellular carcinoma (HCC) with portal vein tumor thrombosis. However, conventional EBRT is composed of many fractions (20-35 fractions). On the other hand, stereotactic ablative radiotherapy is a newly emerging treatment method to deliver a high dose of radiation to the target using a few fractions with a high precision within body. SABR increases radiation biologic effect for tumor, makes patients more comfortable due to reduction of the number of hospital visit, and enables patients to receive another treatment more quickly. This study will evaluate SABR effect with 40 Gy in 4 fractions for HCC with major portal vein tumor thrombosis.;FALSE;TRUE;FALSE;;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;10;TRUE;40;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Other;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE
"Metabolomic and BH3 Profiling of Esophageal Cancers: Identification of Novel Assessment Methods of Treatment Response for Precision TherapyBackground:

The number of patients with esophageal cancer keeps rising. For many patients, a combination of surgery, chemotherapy, and radiation is necessary to completely treat the disease. Usually, patients receive chemotherapy and radiation at the same time followed by surgery to remove the part of the esophagus with the tumor (Neoadjuvant chemoradiotherapy (nCRT)). Researchers want to learn how to make this treatment more effective.

Objective:

To see if biopsies before treatment can show which patients will do the best with a combination of chemotherapy, radiation, and surgery.

Eligibility:

Adults at least 18 years old with esophageal adenocarcinoma or squamous cell carcinoma who should be treated with chemotherapy, radiation, and surgery.

Design:

Patients will undergo standard testing that is routine for all patients with this disease. These tests include:

Medical history

Physical exam with activity and nutritional assessment

Standard lab tests

Imaging studies including a computerized axial tomography (CAT) scan and positron-emission tomography (PET) scan

Breathing test into a machine to measure size and function of lungs.

Biopsy for a small sample of tumor is removed by esophagogastroduodenoscopy (EGD): A tube inserted into the mouth under anesthesia

Endoscopic ultrasound is performed in some but not all patients.

Patients will have nCRT at the clinic or with their local doctor.

In 6 -12 weeks after nCRT, patients will undergo surgery with:

1. A robotically-assisted, minimally-invasive esophagectomy
2. Or, a traditional, open approach.

After surgery, patients are usually in the hospital for 2 weeks and have a feeding tube for at least 2 weeks and potentially longer until they are eating enough to not lose weight.

Patients will return for follow-up visits with labs and CAT scans every 6 months for the first two years then every year afterwards.Background:

* The incidence of esophageal cancer continues to increase with an estimated 16,900 new cases and 15,700 deaths in 2016. Esophageal adenocarcinoma (EAC) is the dominant histology in the United States and accounts for the rising incidence; the incidence of esophageal squamous cell cancer (ESCC) remains stable.
* Neoadjuvant chemoradiotherapy (nCRT) followed by esophagectomy is now a standard approach for locally advanced, operable esophageal cancer.
* A survival advantage compared to surgery alone was demonstrated in the phase III Chemo

Radiotherapy for Oesophageal cancer followed by Surgery Study (CROSS) trial.

* Patients who experience a pathological complete response (pCR) following neoadjuvant therapy are most likely to have long-term survival.
* Presently, accurate assessment of pathologic response requires esophagectomy. Positron-emissions tomography (fludeoxyglucose (FDG-PET)) and endoscopic evaluation with biopsies fail to detect cancer in a significant percentage of patients with residual disease following neoadjuvant therapy.
* Currently there are no validated tissue or serologic biomarkers which can be used to guide surgical management of esophageal cancer patients based on response to nCRT.

Primary Objective:

-To determine whether a metabolomic signature in tumor, blood, or urine or whether BH3 profiling of pre-neoadjuvant tumor biopsies correlates with the outcome of pathological complete response after neoadjuvant chemoradiotherapy for patients with esophageal adenocarcinoma or squamous cell carcinoma.

Eligibility:

-Patients with locally-advanced, histologically confirmed EAC or ESCC who are candidates for nCRT and esophagectomy.

Design:

* Patients will receive standard of care nCRT either at the National Cancer Institute (NCI) or at referring institutions.
* Specimens of plasma, urine, and esophageal tumor with matched normal esophagus will be obtained before neoadjuvant therapy for metabolomic profiling and BH3 profiling.

Blood, urine, normal esophagus, and tumor (if present) will be obtained after neoadjuvant therapy.

* Patients will undergo an esophagectomy as a robotically-assisted, minimally-invasive esophagectomy (RAMIE) or a traditional open approach for contraindications to minimally-invasive approaches or based on institutional expertise.
* Analysis will be performed to determine if pathological complete response (pCR) after chemoradiotherapy (CRT) correlates with pretreatment metabolomic signatures or BH3 profiling in tumor, blood or urine.
* Patients with EAC and ESCC will be evaluated independently.
* The accrual ceiling will be set to 120 patients for the entire study - 80 patients for EAC and 40 patients for ESCC to allow for unevaluable patients. The accrual is expected to be completed in 4 years.";FALSE;FALSE;TRUE;120;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;120;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;FALSE;;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;Other;FALSE;;TRUE;TRUE;TRUE;FALSE;FALSE
"A Phase I Study of TriapineÂ® in Combination With Radiation Therapy in Locally Advanced Pancreas CancerThis phase I trial is studying the side effects and best dose of 3-AP when given together with radiation therapy in treating patients with stage III pancreatic cancer that cannot be removed by surgery.

3-AP may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth. Radiation therapy uses high-energy x-rays to kill tumor cells. 3-AP may make tumor cells more sensitive to radiation therapy. Giving 3-AP together with radiation therapy may kill more tumor cells.PRIMARY OBJECTIVES:

I. To determine the maximal tolerable dose (MTD) of 3-AP administered in combination with radiation therapy (XRT) in patients with locally advanced pancreatic carcinomas.

SECONDARY OBJECTIVES:

I. To document the therapeutic response of this combination in patients with locally advanced pancreatic carcinomas.

II. To establish radiographic correlates using secretin stimulated magnetic resonance cholangiopancreatography (MRCP) and dynamic contrast enhanced magnetic resonance imaging (MRI).

III. To measure deoxycytidine triphosphate (dCTP) levels in peripheral blood mononuclear cells (PBMCs)before and after treatment at specified times and try to correlate findings to activity and toxicity of triapine.

OUTLINE: This is a dose-escalation study of 3-AP (TriapineÂ®). Patients undergo radiotherapy once daily, 5 days a week, for approximately 5Â½ weeks (a total of 28 fractions).

Patients also receive 3-AP (TriapineÂ®) IV over 2 hours 3 days a week every other week for 5Â½ weeks. Treatment continues in the absence of disease progression or unacceptable toxicity. Cohorts of 3-6 patients receive escalating doses of 3-AP (TriapineÂ®) until the maximum tolerated dose (MTD) is determined. The MTD is defined as the dose preceding that at which at least 2 of 3 or 2 of 6 patients experience dose-limiting toxicity. At least 6 patients are treated at the MTD. After completion of study treatment, patients are followed monthly for 1 year.";FALSE;FALSE;FALSE;;TRUE;12;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;FALSE;;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;Tox;FALSE;;TRUE;TRUE;FALSE;FALSE;FALSE
"A Phase II Trial Of Neoadjuvant Therapy With Concurrent Chemotherapy And High Dose Radiotherapy Followed By Surgical Resection And Consolidative Therapy For Locally Advanced Non-Small Cell Lung CarcinomaRATIONALE: Drugs used in chemotherapy, such as paclitaxel and carboplatin, work in different ways to stop tumor cells from dividing so they stop growing or die. Radiation therapy uses high-energy x-rays to damage tumor cells. Giving paclitaxel and carboplatin together with radiation therapy before surgery may shrink the tumor so that it can be removed. Giving chemotherapy after surgery may kill any tumor cells remaining after surgery.

PURPOSE: This phase II trial is studying how well giving paclitaxel and carboplatin together with radiation therapy works in treating patients who are undergoing surgery for stage III non-small cell lung cancer.OBJECTIVES:

* Determine the mediastinal node clearance rate in patients with stage IIIA or IIIB non-small cell lung cancer treated with neoadjuvant induction chemoradiotherapy comprising paclitaxel, carboplatin, and high-dose radiotherapy followed by surgical resection for patients found to be resectable and consolidative chemotherapy comprising paclitaxel and carboplatin.
* Determine the rate of complete pathological response in patients treated with this regimen.
* Determine the feasibility of surgical resection after neoadjuvant induction chemoradiotherapy in these patients.
* Determine disease-free and overall survival of patients treated with this regimen.
* Determine the toxicity of this regimen in these patients.";FALSE;FALSE;FALSE;;FALSE;;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;FALSE;;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;Other;FALSE;;TRUE;FALSE;FALSE;FALSE;FALSE
"A Phase III Randomized Study of Pretherapeutic Para-aortic Lymphadenectomy in Women With Locally Advanced Cervical Cancer Dispositioned to Definitive ChemoradiotherapyThe goal of this clinical research study is to learn if a surgical procedure called an extraperitoneal laparoscopic lymphadenectomy followed by chemotherapy and tailored radiation therapy can help to control the disease for a longer time than standard-of-care chemotherapy and whole pelvic radiation therapy.You will have a positron emission tomography/computed tomography (PET/CT) scan to check the status of the disease. For up to 6 hours before the PET/CT scan, you must not eat or drink anything except water. A small tube will be placed in your arm, and you will receive an injection of a very small amount of a mildly radioactive sugar material into your bloodstream. The radioactive nature of this injected material allows the scanner to ""see"" it in certain places in your body. After the injection, you will need to rest quietly until it is time for the scan. The amount of rest time may vary, but be prepared to wait for between 45 and 90 minutes. During the scan, you will lie flat on your back on a table. The scan itself may last up to 1 hour.

The study doctor will discuss the test results with you. If the test shows that you are not eligible to take part in the study, you will not be enrolled. Other treatment options will be discussed with you.

Study Groups:

If you are found to be eligible to take part in this study, you will be randomly assigned (as in the flip of a coin) to 1 of 2 study groups. You have an equal chance of being assigned to either group.

If you are in Group 1, you will have an extraperitoneal laparoscopic lymphadenectomy followed by chemoradiation therapy.

If you are in Group 2, you will receive standard-of-care chemoradiation therapy only.

Study Procedure and Visits:

If you are in Group 1, you will have an extraperitoneal laparoscopic lymphadenectomy, a procedure where surgeons remove and examine the lymph nodes in the abdomen. The study doctor will explain the risks for this procedure to you and you will sign a separate surgical consent form. This procedure will be performed 7-10 days before chemoradiation treatment begins.

During the laparoscopy procedure, a telescope-like instrument with a small camera on the end (a laparoscope) will be placed through a small cut in the abdomen. Three (3) other small cuts will be made to place instruments that may be needed to complete the surgery. Before the laparoscope is inserted, carbon dioxide gas will be pumped into your abdomen making it easier for the surgeon to see. The laparoscope will then be placed through the small cut. Using a TV monitor, the surgeon will use the camera to find the lymph nodes in the abdomen and then remove them. After the procedure is finished, the carbon dioxide gas will be removed and you will be taken to the recovery room.

If these lymph nodes contain cancer, the area of the body treated with radiation can be ""extended"" to treat new areas. Future treatment options will be based on what is found. This means that radiation will be used to treat both the lymph nodes in the abdomen and the standard area of radiation in the pelvis.

Participants in both groups will then have radiation for 5 days in a row for 5 to 5Â½ weeks. If the study doctor thinks it is needed and you agree, you will have extra radiation treatments.

Participants in both groups will receive cisplatin chemotherapy by vein over about 2 hours, 1 time every week for about 6 weeks. In most cases, treatment is given on Mondays (Days 1, 8, 15, 22, 29, and 36).

After 5 to 5Â½ weeks of chemotherapy and radiation treatment, participants in both groups will receive implants in the pelvis for about 48 hours. You will remain in the hospital at this time. The study doctor will explain the risks for this procedure to you and you will sign a separate surgical consent form.

Length of Study:

You may be on study for up to 5 years. Your participation on the study will be over after you have completed radiation treatment and the follow-up visits described below. You may be taken off study if intolerable side effects occur or if you are unable to follow study directions.

Long-Term Follow-Up:

The following tests and procedures will be performed:

* You will have a PET scan to check the status of the disease 3 months after you complete radiation treatment.
* You have a CT scan to check the status of the disease every 6 months for the next 3 years after that.

You will visit the clinic for a physical exam:

* Every 3 months for the first 2 years
* Every 6 months for the next 3 years, and
* One (1) time each year after that, up to 5 years

This is an investigational study. The extraperitoneal laparoscopic lymphadenectomy is considered investigational. Chemoradiation treatment is FDA approved for the treatment of cervical cancer.

Up to 600 patients will take part in this multicenter study. Up to 40 will be enrolled at MD Anderson. Up to 15 will be enrolled at the Harris Health System.";TRUE;TRUE;TRUE;600;TRUE;60;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;600;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;FALSE;;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;Other;FALSE;;FALSE;TRUE;FALSE;FALSE;FALSE
"A Phase II Trial of Weekly Gemcitabine Hydrochloride and Bevacizumab in Combination With Abdominal Radiation Therapy in Patients With Localized Pancreatic CancerRATIONALE: Drugs used in chemotherapy, such as gemcitabine, work in different ways to stop the growth of tumor cells, either by killing the cells or by stopping them from dividing. Monoclonal antibodies, such as bevacizumab, can block tumor growth in different ways. Some block the ability of tumor cells to grow and spread. Others find tumor cells and help kill them or carry tumor-killing substances to them. Bevacizumab may also stop the tumor growth by blocking blood flow to the tumor. Radiation therapy uses high-energy x-rays to kill tumor cells. Gemcitabine and bevacizumab may make tumor cells more sensitive to radiation therapy. Giving gemcitabine together with bevacizumab and radiation therapy may kill more tumor cells.

PURPOSE: This phase II trial is studying how well giving gemcitabine together with bevacizumab and abdominal radiation therapy works in treating patients with localized pancreatic cancer.OBJECTIVES:

Primary

* Determine the objective response rate in patients treated with concurrent bevacizumab, gemcitabine hydrochloride, and abdominal radiotherapy.

Secondary

* Determine the quantitative toxicity associated with the delivery of this regimen in these patients.
* Determine the 1-year and median survival of patients treated with this regimen.
* Determine the time to progression in patients treated with this regimen.
* Determine the patterns of recurrence in the entire population of patients treated with this regimen and in the subgroup that is resected for cure.
* Determine the safety of this regimen in these patients.
* Evaluate the surgical experience of patients who undergo surgical resection after completion of protocol-directed therapy.
* Evaluate the toxicity associated with surgical resection in these patients.

OUTLINE: Patients receive gemcitabine hydrochloride IV over 30 minutes on days 1 and 8 of courses 1 and 3 and on days 1, 8, and 15 of course 2. Patients also receive bevacizumab IV over 30-90 minutes on days 1 and 15 of course 1, on days 8 and 22 of course 2, and on day 8 of course 3. Treatment repeats every 3-4 weeks for up to 3 courses in the absence of disease progression or unacceptable toxicity. Beginning on day 1 of the second course of chemotherapy, patients undergo concurrent abdominal radiotherapy once daily, five days a week, for 3 weeks.

Patients are evaluated at week 10. Patients whose disease deemed resectable after study treatment undergo standard pancreatic resection at least 6 weeks after completion of bevacizumab. Patients who remain unresectable and have not progressed after completion of chemoradiotherapy may begin maintenance therapy comprising gemcitabine hydrochloride IV over 30 minutes on days 1, 8, and 15 and bevacizumab IV over 30-90 minutes on days 1 and 15. Treatment with gemcitabine hydrochloride and bevacizumab repeats every 4 weeks in the absence of disease progression or unacceptable toxicity.

After completion of study therapy, patients are followed periodically for up to 10 years.

PROJECTED ACCRUAL: A total of 30 patients will be accrued for this study.";FALSE;FALSE;TRUE;30;TRUE;120;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;30;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;FALSE;;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;Other;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE
"Using UroLift System With Stereotactic Ablative Body Radiotherapy For Men With Prostate Cancer and Benign Prostatic Hyperplasia (BPH): a Phase I Safety TrialConfirming safety of combining UroLift System prior to SAbR for patients with newly diagnosed prostate cancer and a history of BPH, by measuring the acute complication rate of UroLift System implant in patients with BPH undergoing SAbR (within 90 days of treatment completion)UroLift System implant will be implanted transurethrally under cystoscopic guidance with a UroLift System Delivery Device by a trained provider. Optimal placement of the implants will be verified cystoscopically. On average, 4-6 UroLift System implants are typically implanted but more or less can be placed per provided discretion, up to a maximum of 10 implants per manufacturer specifications.

Given that patients will also undergo UroLift System placement, patients will be offered to undergo UroLift System, fiducial marker placement and rectal gel spacer placement in one single procedure, under general anesthesia.

SAbR will be performed following placement of UroLift System, prostate fiducials, rectal spacer, and MR/CT simulation, using stereotactic immobilization/localization, rectal enema, prophylactic medication support (tamsulosin, dexamethasone unless contraindicated), bladder filling protocol, and appropriate imaging verification.";FALSE;FALSE;FALSE;;FALSE;;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Tox;FALSE;;FALSE;TRUE;FALSE;TRUE;FALSE
"A Phase I Trial of Indoximod and Temozolomide-Based Therapy for Children With Progressive Primary Brain TumorsThis is a first-in-children phase 1 trial using indoximod, an inhibitor of the immune ""checkpoint"" pathway indoleamine 2,3-dioxygenase (IDO), in combination with temozolomide-based therapy to treat pediatric brain tumors. Using a preclinical glioblastoma model, it was recently shown that adding IDO-blocking drugs to temozolomide plus radiation significantly enhanced survival by driving a vigorous, tumordirected inflammatory response. This data provided the rationale for the companion adult phase 1 trial using indoximod (IND#120813) plus temozolomide to treat adults with glioblastoma, which is currently open (NCT02052648). The goal of this pediatric study is to bring IDO-based immunotherapy into the clinic for children with brain tumors. This study will provide a foundation for future pediatric trials testing indoximod combined with radiation and temozolomide in the up-front setting for patients with newly diagnosed central nervous system tumors.";FALSE;FALSE;FALSE;;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;FALSE;;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;Other;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE
Partial Breast Re-irradiation in Women with Locally Recurrent Breast Cancer Previously Treated with Conservative Surgery and Whole Breast Irradiation: a Prospective Phase II Clinical StudyA prospective study of partial breast re-irradiation in patients with local recurrence of breast cancerBreast cancer is the leading type of cancer in women worldwide. Although advances in treatment have led to an overall reduction in breast cancer mortality, survivors continue to have an ongoing risk of disease recurrence. For women who experience breast recurrence, mastectomy has historically been the only treatment approach offered. However, it has been associated with negative health outcomes, including reduced quality of life, depression and anxiety, and impaired sexual functioning. As a result, there is increasing interest to identify treatment options that include breast preservation. Breast-conserving surgery followed by re-irradiation with partial breast irradiation has recently been found to be a safe alternative to mastectomy for women who have undergone prior whole breast radiation.;FALSE;FALSE;FALSE;;FALSE;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Other;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE
"Phase II Study of SIB-IMRT in Combination With 5-FU and Mitomycin-C Among Patients With Locally Advanced Anal Canal Cancer: Efficacy, Safety and Quality of LifeAnal canal carcinoma (ACC) represents 1.2% of digestive cancers. Its incidence is increasing. As epidermoid ACC (95% of ACC) are particularly sensitive to radio and chemotherapy, concomitant radio-chemotherapy is the standard treatment of locally advanced ACC, with proven efficacy on locoregional control, anal sphincter preservation, progression-free survival and complete response rate higher than 80%.

Nevertheless, conventional radiotherapy frequently induces significant non-haematological toxicities requiring treatment interruptions. Thus, treatment usually includes a chemotherapy (5-Fluorouracil and Mitomycine-C) and 25 fractions of 1.8 Gy followed by a planned 1-week (or more) interruption and a boost, for a total 54-60 Gy radiation dose over 9 weeks.

Considering the numerous anatomic pelvic structures, ACC has become a localisation of interest for Intensity-Modulated Radiation Therapy (IMRT) associated with less toxicity.

However, IMRT induces gradeâ‰¥3 cutaneous toxicities requiring irradiation breaks. Dose escalade did not show its interest: 60 Grays remains the standard.

Assuming the deleterious effect of increased overall treatment time on local control and survival in head-and-neck and cervical cancers and the epidermoid histology of ACC, the benefit of no irradiation break on ACC tumour control is of interest.

IMRT offers the possibility to deliver different doses to different target volumes simultaneously by altered fractionation schedule like SIB-IMRT (simultaneously integrated boost-IMRT). Several SIB-IMRT schedules have been retrospectively evaluated. Similar results were observed with moderate doses and schedules delivering higher doses with short interruptions. Nevertheless, standard SIB-IMRT schedule in ACC still not exist.";FALSE;FALSE;FALSE;;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;TRUE;60;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;Other;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE
"Short-course Radiotherapy Versus Chemoradiotherapy, Followed by Consolidation Chemotherapy, and Selective Organ Preservation for MRI-defined Intermediate and High-risk Rectal Cancer PatientsThe hereby proposed ACO/ARO/AIO-18.1 randomized trial aims to directly compare the newly established TNT concepts applying either short-course RT according to RAPIDO, or CRT according to CAO/ARO/AIO-04/-12, both followed by consolidation chemotherapy, and surgery or a watch\&wait (W\&W) approach for patients with clinical complete response (cCR).

The ACO/ARO/AIO-18.1 study incorporates several novel and innovative aspects to further optimize multimodal rectal cancer treatment, partly established by our preceding CAO/ARO/AIO-04 and CAO/ARO/AIO-12 randomized trials: (1) patient selection is based on strict, quality controlled MRI features of intermediate and high-risk characteristics (and, thus, complementary to our ACO/ARO/AIO-18.2 trial in ""low-risk"" rectal cancer), (2) the CRT regimens incorporates 5-FU/oxaliplatin with doses and intensities shown to be effective and well-tolerated without compromising treatment compliance in CAO/ARO/AIO-04, (3) the sequence of CRT, CT, and surgery/W\&W adopts the TNT approach as established by our CAO/ARO/AIO-12 and OPRA trial, (4) surgical stratification allows for W\&W management for strictly selected patients with clinical complete response (cCR). Thus, we hypothesize that TNT with 5-FU/oxaliplatin-CRT followed by consolidation chemotherapy may increase organ preservation while maintaining DFS as compared to RAPIDO-like short-course RT followed by consolidation chemotherapy.The primary endpoint of this trial, organ preservation, is defined as follows: survival with rectum intact, no major surgery, no stoma. Accordingly, the primary endpoint, organ preservation, will not be reached if any of the following occurs: (1) death, (2) any major surgery other than local excision (R0) performed after randomization, during TNT, at re-staging scheduled 22-24 weeks after start of TNT due to clinical non-cCR, or for any locoregional regrowth after initial cCR requiring salvage-TME, (3) any locoregional regrowth not amenable to salvage surgery, or (4) any stoma (non-re-converted protective stoma within 6 months after completion of TNT, or any stoma needed for toxicity or poor function), whichever occurs first. We hypothesized that the 3-year organ preservation rate will improve from 30% in the control arm to 40% in the investigational arm (hazard ratio of 0.76). With a power of 90% and a two-sided type I error of 5%, the sample size required to obtain a statistically significant difference is 702 patients (564 events) in total.";TRUE;FALSE;TRUE;702;FALSE;;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;702;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;FALSE;;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;Other;TRUE;0.76;FALSE;FALSE;FALSE;FALSE;FALSE
